x=1, n=13, |dx| = 0.5
0,1.2561176684318004727268212432509309022911739973934097345275660984e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.6149774329842056790973040109934864460112162101318171196642241493e0,1.0597370857054893197810077996885497202704945921281405259625341647e0
2,8.5658287886586465865457188660607892267187568337084173582987376204e-1,4.7433854963851492602552899891804697038753264347983024869863168553e-1
3,2.4673579861191831568780761121412576957495799247422462049729956315e-1,1.1705958344912188314453256971558226015034122472036321570492465077e-1
4,4.2499608347235288930192327130516145559673140659167696504624727107e-2,1.7432016092256575796860246710851284572208252362689503048861612004e-2
5,4.5229640613452129440749972292480130077074615975416355634251145850e-3,1.6102981742062713340914382495663698690878022834790986740091315338e-3
6,2.9570924434417534976299372435937229928231344865746459580187649313e-4,9.1286683269588247507868657602411263664949533422006041819439058860e-5
7,1.1389051842520470763733848923265226555689850206434469395462622112e-5,3.0263557839507848785489773370813156494257529368315079289198163069e-6
8,2.3551774546429247194815917642039641151112137959035236944792739229e-7,5.2955725320633685385408537518786933363696955145645687723562167382e-8
9,2.1573670570374062342330446230391627925141667242684037721277648415e-9,3.9522146830489619381527969595976994078605592802459382899409899407e-10
10,5.3892775345607001370845354699950353294654798976158959717977217327e-12,7.2207376556420296921644707306276072768625505801728899003343682301e-13
relative error = 5.5805094747e-33

x=5, n=10, |dx| = 0.5
i,p_i,q_i
0,1.5061176684318004727268212432509309022911739973934097345275660984e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.5624384479650607141657269691272086376714188213049215497455113767e0,8.9044536183174943050204502347170074193418087032148337737354203426e-1
2,6.7879321784145599597984301428343935931522515104123558880868604162e-1,3.3603754551792705877253455625953328125859518416129766465481082177e-1
3,1.6184685532317766862440834655208247622116075338354713098416362581e-1,7.0130658060089388224218423399744243640889564960368653833652069701e-2
4,2.3254967648450812541567928871411685959761471659719344457972890723e-2,8.8551837181126642881083961889701052128807827897561971462154613203e-3
5,2.0765453490035652871914942082328163542854072866359671524840397498e-3,6.9517622585278517847042566581682527715469113515244171324620457914e-4
6,1.1441843105986439644465224878319568831668871929644715235491384554e-4,3.3556172400405152977780088223853618402596834169535525808426734706e-5
7,3.7263336638008414766113778837903848132598793014745296746696577423e-6,9.4875225591675806367026027139550997409190149557004033619830456708e-7
8,6.5316070711546419332862902438487100797956821796953627270624613774e-8,1.4176340730537847930290734830608763714193930851179327710381150591e-8
9,5.0785555708293485786074231081736666274922171064036411090123190389e-10,9.0432528473627251270813797504994067531341395463654374198706041576e-11
10,1.0767606228073660978714334310110498718947237444030994231619506273e-12,1.4131288432614820512730970923882777633096011927774135948852861877e-13
relative error = 1.2455515264e-34

x=6, n=9, |dx| = 0.5
i,p_i,q_i
0,1.7061176684318004727268212432509309022911739973934097345275660984e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.3860922650431679213836071052114270819544024325388487759730099151e0,7.0614666948114514826410799429443051087593907012438878135139449037e-1
2,4.6620429720881657784370497652303921073216216309988487891670057974e-1,2.0781600741702048235806637354265837988611900261149017988001571064e-1
3,8.4472054839703344721860868952545954446369568160611211117365263079e-2,3.3055233281442220412221687955192186483607210714306621409041870739e-2
4,8.9686106891129699547534632178803190830835308632932226769325900107e-3,3.0806724900962000469963632444757066431323016821416367251158876208e-3
5,5.6744969428976610334743760946235850817702556803210862120536425134e-4,1.7041760052969531775316614859212514326471213107700010044226327232e-4
6,2.0763135579743033931095645716861137190318012012235451596008194054e-5,5.4008885954648074079783273125897532631910188967716266072670874310e-6
7,4.0336186431498857412822651209546845596111113731750733412836306885e-7,8.9202618615964495430430133311305882700266221139738075219578336060e-8
