x=1, n=14, |dx| = 0.5
i,p_i,q_i
0,1.0000000000000000000000000000000000000000000000000000000000000000e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,9.6775069765980373244026749743648771298723871570754670990314828785e-1,1.5449663625613365930467795875188901440293980516474703087089155227e0
2,5.0874007535847898340954184533673388689192897980156526488879900495e-1,4.1146286624685101467790033832366377570295345971482469366240664812e-1
3,1.8459637023209168766258149791082090546403401721994969646875960032e-1,-1.9847998523539551062856563515368117217881465596244586860871503852e-1
4,5.1197918129010782932907015521725300322357763585296228646014526489e-2,-5.0031092795755002362188668990916095511585454285213586839905234126e-2
5,1.1402758093238595689403981324151660080756706608275150025614729056e-2,1.7483986214649585037855695741153848533978893814044801885384132744e-2
6,2.1010171887289473397508036285802540780752596005977319886689590191e-3,1.6157491284994968842847434872426174365339157215190747469159051579e-3
7,3.2529760409028224388085187879174946253896270566885801383524640043e-4,-9.0921072561502359362852571732635308496497450267224683790450015515e-4
8,4.2669189693788814002732956055479327805779604663109400273280930689e-5,3.6247885158131988143277813554542604079515010951000541320028235455e-5
9,4.7374109656572519785907177417657630697054770721892491277965974819e-6,1.9877540783975257750350722238003641719513085375794312060741125948e-5
10,4.4191533945821317026949989248288839851662276336201819472795040988e-7,-2.7944300183429400530212060566418658992388230854816844621064929512e-6
11,3.3893998077922482212883744765696874021428721248351609294250382886e-8,-1.7989005635349376758979207411667973559316084258150961928031861972e-8
12,2.0613239161112182478342012775082855396695435279080168475276304201e-9,3.3291087978972286491944160991912680755606930401640378309187950407e-8
13,9.0769017764017231211314556523374810517134410115173295803801709222e-11,-2.9517845076708866725561628887015740945620275014743714885051527490e-9
14,2.4060244045874601705259293416203859822766526737485287772453349574e-12,8.9146198879497996491450933022267235407482586588234767184930560076e-11
relative error = 1.9645500072e-31

x=2, n=14, |dx| = 0.5
i,p_i,q_i
0,1.0000000000000000000000000000000000000000000000000000000000000000e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,9.0896807388429892467171456925619776578330099013509923206832310500e-1,4.8618373878583178527822665933860019682546032607502283087409033989e-1
2,4.5076696210287884785666883170787645734990646682219056462067995713e-1,-1.6662423706181556767080419070046690652301813229428351609059753658e-1
3,1.5430275385548823597324574880089390333016448335680229754264030054e-1,-5.7058119743647776710764325389008411054909923263281846630504453776e-2
4,4.0356066986710137019705748303549252321918478940537188428916733872e-2,1.9191544701396344180893744897761127937359241337492183594291866767e-2
5,8.4641302476941628546367861469369847734621587325295978730751232205e-3,1.6100930211883478877431603345163119450764903912644502214265649941e-3
6,1.4660627746819727310247553841749615870619486313808917207093055919e-3,-1.1164444255875208676815913008370966912929772969262250810322771675e-3
7,2.1287248357020004322618215799361887596661327280725203667277833053e-4,7.7952797754322202592465593874896065028171675290247061396222372280e-5
8,2.6111529469232450325105886778873609210443105955936788348193196846e-5,2.2929044710050554318201178634074505389105015006527377449795185748e-5
9,2.7014976998510664821009869627000938272417252505626682932264254413e-6,-4.6599644515241673197008923020614781453178458925796596961083183051e-6
10,2.3383862472651027128738658225670730847022704458408626190279858456e-7,1.5621438598211674879426733036501250902642312324764831092510252035e-7
11,1.6555787657831081735217878151463271066346128407549136325535990424e-8,4.6567642502041556650051984304162579204162744162159308040667338418e-8
12,9.2333143419029337179632439385286707188257935063843525049620561648e-10,-6.9860917340450250999266312420554217982353056733630811710057540590e-9
