x=1, n=14, |dx| = 0.5
13,3.6975508556335914540841862554919024156281661328953454152837661538e-11,4.1767466734692801641792832854735569643182538978824180756565065005e-10
14,8.7797671602669889885589793524765990682973862590245623953032689201e-13,-9.9454439118935394285221325589669877775727199167826065485199161960e-12
relative error = 1.2749073460e-33

x=3, n=14, |dx| = 0.5
i,p_i,q_i
0,2.0000000000000000000000000000000000000000000000000000000000000000e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.7976072871827545160460173748403605910482426580454807980016439516e0,-2.3980691507089881370479222497417273433719335037336002193410789335e-2
2,8.8382114851491902696413763843269895919746912634180106001633696655e-1,-1.5919291725064235694449128818318137547153544171497328151510983898e-1
3,3.0018864365609432986148035907739251999488221155113817430030086805e-1,2.4443513936407997543995622327196095731874797439075116781163228138e-2
4,7.7962961855381598176874104499545471846446582642286101809323007584e-2,7.4964971651382477453868696339970574768382691653136898751774838695e-3
5,1.6245778864857252632451451296106589773595253407797197038916188388e-2,-2.3600986124150451964625722210308559511306759306745911069382055915e-3
6,2.7972448386778437258027866268604611239539290094719865715844125432e-3,5.3449518048718171851817901108351154594962113214027121041182701637e-5
7,4.0393465903873337211403377516315206511311733574543967770054574130e-4,6.3754158450921608448236358405417713386269851029604618021986602610e-5
8,4.9303573723537597112949010655795328543248865553947124358941772306e-5,-1.0158748599093198291263091927064031005154261307718745872621810090e-5
9,5.0783954848928109817211182758517416786670017162268700858965515290e-6,1.8792452159788920702796202348394203948644194626870350209079120796e-7
10,4.3796617426636587311864668853392394138633503642358273429776180033e-7,1.2160547026176182405992198460385417221271437326053155594069705776e-7
11,3.0916716253619316875775672247340820426775406090955167603103356481e-8,-1.7212847658442066247338353871509184938845336430665548702136957835e-8
12,1.7216918169689712731887947641144645993329351893138310745007181039e-9,1.0924310120712092718433016792534798959439672673437578884529575180e-9
13,6.8931799510847237357264211008431739842550152809945328799966780695e-11,-3.3188755710849073619416455262996992321807373054165507211594816771e-11
14,1.6467760234149554240288903144513800402843370595331932100175641924e-12,3.2947468328266371521769105761004352982143587958029170731341404857e-13
relative error = 6.9717989282e-34

x=4, n=14, |dx| = 0.5
i,p_i,q_i
0,6.0000000000000000000000000000000000000000000000000000000000000000e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,5.6539440273978783018769416365999320675922324557753707108417521483e0,-3.1379366386548742241399763715094222435913525476418128272060740707e-1
2,2.8315974219381318674301727931284658671253208326660207736356513622e0,-6.4732607262085487256627663889195056147451963353162071279431155954e-2
3,9.6886951637130980343858651314486279007449772604442971011877670712e-1,3.9636475451151744576974053798882049597418470704723261897852602815e-2
4,2.5089208490192655356113369575113466752104105636196811349406124033e-1,-3.1841185237335637943737633399810198826685694602008027045161745995e-3
5,5.1732699504739868900959157020866839350526985235092626623949958952e-2,-1.2484406300948877047202237945590000910305556963152652111562838042e-3
6,8.7462330709450160593959280221268691119901054330311725433982615726e-3,3.0223249233206050253162977417290985565757819081340181567055089146e-4
7,1.2315419634347102536078945611298853558177232696466454037865344382e-3,-9.9172925204585576240904007135451421135433043621024214109480248051e-6
8,1.4544157583093092249939501206459038439467002175103912198217180087e-4,-5.1438179342941912353808151727382053229640877777352881914313420763e-6
9,1.4383199660663651341662967720759253739482736393429724685192011375e-5,8.2659064431013308057528552995465093029459609782184471024352602706e-7
10,1.1794534941013769429510460437946556288490791192997104739824987226e-6,-2.9745398613150953798501130578064874452948954085025338470560409275e-8
11,7.8365455304826014986945396708452854134519918521373589344790806116e-8,-5.3032727135577607546008638474429783273962346423255320209110825344e-9
12,4.0429225131437267601705192450179551747371081236771666018671841528e-9,7.8023262010088796104462205197512108204747929814490928256151475331e-10
13,1.4753345504049723861347163781462094514305256815534527231868980068e-10,-4.4151636050494849100572722035257014114726249957073686307259310456e-11
14,3.0443316353468639220865849013556294980833544954528211712389163100e-12,9.9781728586260757916544241591545333017291180930306955167618993683e-13
relative error = 1.3916323424e-34

x=5, n=13, |dx| = 0.5
i,p_i,q_i
0,2.4000000000000000000000000000000000000000000000000000000000000000e1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,2.2190422611384169135555490690149495178226854377848017904254943949e1,-5.8151672629079342541200913116136860319838839831640898851694343390e-1
2,1.0779859865060060658724609251832935017623674227029615153413637468e1,8.0136750216240046043881840471497372514073857581384671977102604781e-2
3,3.5528062773887129293137100835074496767537817964137154421792882536e0,2.3295139038254212460709779939455547620868017764882136006733193032e-2
4,8.7923310060072263152248245833704212280056971449174670561170777255e-1,-9.5754440366947698961334058737632167231461196904613030338848314037e-3
5,1.7179396787368627308449048710760464268887485237182412751652935496e-1,9.4662230367044324880778462987291562554722789827920099020423792509e-4
6,2.7235066954998165077878166302434160807605788780914534554835850775e-2,1.3214996323876303669317374506086826789867698896430577797752305218e-4
7,3.5495558061592089880669946020810907202097719358757369354145317229e-3,-4.5130649177716308303495275968150072693382951769006048514645473730e-5
8,3.8130350808963175756699729210002641501954534035832030263008136064e-4,4.2392886555320865779913172593850241971705864169567310681151977210e-6
9,3.3494632783156793039269821140923746192038405239209553941677003705e-5,1.0721180315485179640831894645567877671582596876836535862000712810e-7
10,2.3545083248708823373348515727490013512030150702529173631224074040e-6,-6.6067959190444568562205376673865367362398881100541271597943260673e-8
11,1.2677487653267789814298203519552673688875587626658941792305314321e-7,7.1307417129650469085139593510846609659215735178880447568510477012e-9
12,4.7612407933702441939437051836420872214387144448829558569187831498e-9,-3.7159544791857711216676140358047159478805690871834338097898270572e-10
13,9.8022652016090070964412103451726671198344710024485796459524462719e-11,8.2154072841117410145022865877082029327279043618857382205796418206e-12
relative error = 3.0565021036e-32

x=6, n=13, |dx| = 0.5
i,p_i,q_i
0,1.2000000000000000000000000000000000000000000000000000000000000000e2,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,9.6740883440201692695878481282883798303867396746971395139795763348e1,-8.9994363976345303359450056589356591642561235783531477502926807055e-1
2,4.1574499658360064134645327549314283664404067352991462911373779161e1,3.3578368107677866115931479023672558802356055614736971581996711779e-1
3,1.2090371054411552745104339127853121396104032393285210572634125882e1,-5.7667720188471592219251065320419310463505734043937634780335809596e-2
4,2.6262521393682825365488613139733322196202815775815162749980110287e0,2.7490510181717241662181463280067432307357759959255047734376474198e-5
5,4.4553968668036100867067282365689541311864489620320516035268113759e-1,2.1501363950154109670527869533933896411907031526611152875674319755e-3
6,6.0406692579161367559940244702499564746483711553706271657448301412e-2,-4.6875675878164537088080704098396711084610229655141599425087188144e-4
7,6.5791405362464124025287865204709660725385591414120401005343879801e-3,4.2256414657683089136334514294469905034955313235359066887660442010e-5
8,5.7102212661876051649502028126854890975542156306817141417840324744e-4,1.0451787469140012669787665845331201440697139459410966832078293405e-6
9,3.8308356313026891688235728578086803957419256273253233520564597052e-5,-7.8043932144967859136507545309856255971263505820740932498660161000e-7
10,1.8593044973448040030017965798721666920441061192542543673971080456e-6,1.0474346058449270234495017114269494893642543545719029987077444176e-7
11,5.3587319475126476172138128369444836551899445762183958184932663627e-8,-7.6833432041732207232366083162349907796976787871143854690293704940e-9
12,1.8566454979518458526324415760945636745774768305621554747842219604e-10,3.2009277608558045192958756190680612047471133665350305719812759997e-10
13,-4.3720586416385681153091118259785863608071789090962939459203364246e-11,-6.0433032898169012972528792921867960770282369668197608434788223074e-12
relative error = 1.1290838418e-32

x=7, n=13, |dx| = 0.5
i,p_i,q_i
0,7.2000000000000000000000000000000000000000000000000000000000000000e2,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,6.9884018502411305555789535689408430232715895641757531400328571784e2,-9.0217296700942122889641102534248048239234211348011068730078037923e-1
2,3.4632358433268548734628610414129725344011671304078169995920955924e2,3.4014720652961861837582415834150480924807406129448312872342497550e-1
3,1.1479950035817027151224808838156264351145747730598157930563529011e2,-6.0810730019618056766285842966427791054969341898970694216397668210e-2
4,2.8253688211888406235128918481513549841489580516054791113408086105e1,1.2424716476976871303938201168413822096010266494568919905732930897e-3
5,5.4402247671027373756838022580829503548689004624816844096887922771e0,1.8697239947016088909489788098596798830601813375965829170050964757e-3
6,8.4274635791907535111238996342400380680568469304635193020164675709e-1,-4.3219360230060524551785668219453785546400583693875001907696046713e-4
7,1.0645980830217198755515635886307190474648803124447857607592192251e-1,4.1181477134227071224531626009160897114101685192622018799646753394e-5
8,1.0992376379934333460058016200820970911971466917970835482491691191e-2,4.7111955030726170763930130538360827536810974077526227710451119763e-7
9,9.1986960271491572007595930513866274277648695792953304837045921787e-4,-6.5146002490855956420378654233495465024895543620196931700618073521e-7
10,6.0977774384916199628526421039154574346374419309966088277098224290e-5,8.9976908965800475899410824310966037962682246867957292038640648199e-8
11,3.0586921393252281126345572748329640134939111902032013105053897721e-6,-6.6463736425016295721524088734870792517927159434413753065227730615e-9
12,1.0536151980392189743671513439349837154298261291815306650904638239e-7,2.7709606466828109776873135831888051244445038928893902531065110193e-10
13,1.9384381171757022306859361117879372601461763959340695780257240076e-9,-5.2209545354767935835822097528602968152504162985060433601909506049e-12
relative error = 8.8076155411e-33

x=8, n=13, |dx| = 0.5
i,p_i,q_i
0,5.0400000000000000000000000000000000000000000000000000000000000000e3,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,4.2833667108097951364631432903690923904074882066464469038074046932e3,-1.1657671305727141361269912253205554280039739563921305869467318339e0
2,1.8913892522820201735066355075253028363084251356010989067950924775e3,6.2707043613915410019971896256179280533350780420713975242921302723e-1
3,5.6050981529456663406666668796102905039605766166166101207684346378e2,-2.0307792839667840939108609411052536868810355708397047996032014425e-1
4,1.2331774064595677337834337908250575043287916175124269697037949373e2,4.2854180860062542768374053247284530869130307319376495590538322896e-2
5,2.1149843849002733748029835631966388796933287552405851654947761086e1,-5.7548765600298149041920879909708418784109718259898732074201148129e-3
6,2.9005283633497662773911708985835899236426280652928051723942609155e0,3.6261358557789528638231347451064539187465585798909792868869206553e-4
7,3.2135853747861595537773495554669343926248755834265000740026401478e-1,3.1630854091197015945098290715798688948845235798532574108363149718e-5
8,2.8725890817243797747288307075429765682869905615481375884579783195e-2,-1.1369040988941709905259416649229504784676788604425864747961120854e-5
9,2.0423989728285254078616893020864264610358565304822449301769507469e-3,1.5492587649852102825822564952342258266841119941196530822447905275e-6
10,1.1196617073722863543507733058485150428290116401342240769370381126e-4,-1.3170221813992364293489781559953039812805476221338088224320486194e-7
11,4.4468011616444221377484356951715579729710491748991356362859101674e-6,7.3335661792524864901145539763742941777394486796478936640810012776e-9
12,1.1255185494007262903887282248130266343764078143090280032974945828e-7,-2.4973769427081669544519813152673142484054865047378583230106823142e-10
13,1.2488616774999171617869805567958815041136162845506403795823911711e-9,4.0156265043916975292152783416741652886923035560081404741436522421e-12
relative error = 3.2792281287e-33

x=9, n=13, |dx| = 0.5
i,p_i,q_i
0,4.0320000000000000000000000000000000000000000000000000000000000000e4,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,3.9260991321030007869425554696258643352194209724206812058266469903e4,-1.1669065741602228966001953827286431207387382403446296735586556346e0
2,1.9296503107818915678858678133334422167514836011954366723765484972e4,6.2658354407137381118651750995406388595259750044606496017837245988e-1
3,6.2883640399844023642607077086527106397275446362042734355237748229e3,-2.0151836641770762826672667609677301934026873190945871921659386097e-1
4,1.5100216704569801534544224389702201099594539695481879281287059772e3,4.1745000454517588631675358025527842013258081009478729151737959450e-2
5,2.8164203804292846831513923161570157379654260681522338830108909870e2,-5.3121440650756628574518875386704361532637042641077308761818849056e-3
6,4.1958961437758913399335515577932368922500675473393675017769856390e1,2.4441502624150476034736623917335690325155055810733215722444147900e-4
7,5.0588948480747579028429754186338352783566415721374626834591208700e0,5.4262126850581357871296743782303948249626589157510342797167212834e-5
8,4.9442899043678415020438629734038201091368255207266444887761827395e-1,-1.4570656111659677169130658924822666214954590178042749985594842622e-5
9,3.8792046240095132500004099197444879112506491404346056498445912909e-2,1.8858924825238349293878960731164243555330089276905721993833837061e-6
10,2.3840058250818215850835616830696485726409283804957235357248773956e-3,-1.5760099657535127984166030200164839781653770790941476641530796951e-7
11,1.0927963696441729021986720540123928461305294988579165795958920311e-4,8.7277848746047952416682296839094669276687161153921239479839557163e-9
12,3.3753721900370654565533503181473865375892171312389561728099054462e-6,-2.9719880370544814782065502678817608389122905739781201920789076977e-10
13,5.3835989422664447640212029302154726864550186972107938466733330421e-8,4.7929839213050605287018652510309824153819881104920181475261912123e-12
relative error = 4.5118361200e-33

x=10, n=13, |dx| = 0.5
i,p_i,q_i
0,3.6288000000000000000000000000000000000000000000000000000000000000e5,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,3.0845756400471151414411553380528402185476239094589229901571243606e5,-1.4017262332336316176118644150838122353633675849543326318608100467e0
2,1.3365311706670354543761948426477634057598894720794839730111138372e5,9.3687480705017943775334235172378491028137704263669953436401747352e-1
3,3.8397734286972230104975579477882206455068041000685940412401641405e4,-3.9587990386599214308235556685681252939264430394504154806976627627e-1
4,8.0962967075220353618311341988650445883777668982803860043989636228e3,1.1816960153280054956035214429459860312001045476549097122580741970e-1
5,1.3155946311289619630266373943288432979197605880584191076970673050e3,-2.6356059384720324697411798382881582632276651244610529646551309963e-2
6,1.6875141054440361239803720691520278536272504100503506130406586601e2,4.5268642948601489611250936992542758817950615596787606111241060422e-3
7,1.7221662192154322241317786750562211575478900393147341907123982452e1,-6.0744410695004824241659823275333501094813216703978857177223920021e-4
8,1.3902225169188946613529761050475902530633260963838744092436021544e0,6.3819339578857219081807726922708535519235614363344496626094078802e-5
9,8.6836578653236939677158948751495249047603035641169503946035608451e-2,-5.1974650444650245494633828845513353680420526550540738140636571526e-6
10,4.0040452553540218158093002376842465031071568027790714105427543921e-3,3.1979095079380826114884483621487585000139767819297085197731517950e-7
11,1.2332085854413028532013775635750398618173896083778397693365252744e-4,-1.4120036824325774149686706716152755096266510560529061686210134626e-8
12,1.9523007226039961787787930148235776788013317467609944683991572812e-6,4.0239556039134247331618105172966990220998082748202262840083914672e-10
13,2.9303788535090634101792481550519245862575840067499211192718824151e-10,-5.6120574426951480132322195551544786984983581056451262348892369148e-12
relative error = 2.8450232546e-33

x=11, n=13, |dx| = 0.5
i,p_i,q_i
0,3.6288000000000000000000000000000000000000000000000000000000000000e6,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,3.4472217873406039464687606208158460533426715145785914411212894331e6,-1.4017906767704788384486134002130544546107640782524839626136305183e0
2,1.6447526743494783821211170278806483226429544379608430787898644903e6,9.3696131040823978179165377523358096456788028775313831512977487660e-1
3,5.1751105215226352464149462910009941454638943006775892895586226973e5,-3.9593496728767307433256982373629539865503786242777529679320896374e-1
4,1.1932089269893193938822943942833157306186021365771648327189602171e5,1.1819161337420230330980036032117695103591923809491955506232147856e-1
5,2.1242515488142042945012310800554890767808760456058337430476810797e4,-2.6362224082958657691451633270588294562267820835333863912521334165e-2
6,3.0012718496260097870055757455555659223079834355903905757903257987e3,4.5281408609604363734570467252491143539216900858666928692661391147e-3
7,3.4069239229109547203931538721911269635488595545160442890455505398e2,-6.0764492328108721254097293712550788459237475427547936044546955992e-4
8,3.1090596622660080550404119837426524470880255577316048557648001666e1,6.3843572663420842908370317983269802698739261564207946607849266730e-5
9,2.2553488845683717477842409459325206257920387935442924066951059499e0,-5.1996968135689871507717678942278877464760360215852424208735908628e-6
10,1.2662579256857354466257196553145978629963428548733533678723064830e-1,3.1994434648692411995150540068863098081210991707444230026983242561e-7
11,5.2221246410345975270859120101782533934608355822123523536926656744e-3,-1.4127528813992866558921893237219307509731985876641744826197007182e-8
12,1.4217208771129285620986923518721863860478997157124292503277759534e-4,4.0262983340526512074762019620651640742272279388204267694271587702e-10
13,1.9354481414054899367161084408791528462812843779899138463801698186e-6,-5.6156184983456146284788106919823063591080199737021280085239938655e-12
relative error = 2.8493060182e-33

x=12, n=13, |dx| = 0.5
i,p_i,q_i
0,3.9916800000000000000000000000000000000000000000000000000000000000e7,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,4.0614728572153846748637572154773779128242167277143343600950195160e7,-1.4251770977409172669428512818618972340551889666007774693923299282e0
2,2.0533902226074887331863983209874399407200567712892489949275115753e7,9.6889405012755974138370660305103129267400329957940791946012371306e-1
3,6.7996898675394800849781575766657199238709568041854691599404081965e6,-4.1662114854598978447475951230076141244346889476783905667604179020e-1
4,1.6417490466284690307846608380436627711665013668101448155868486359e6,1.2661126438351122407512755430400732347057148389176568246698188368e-1
5,3.0488590032116358639988190370220942059012693749045823714260459661e5,-2.8764315178865289055529115712750268511586655698068240337188022242e-2
6,4.4795114954556894667694942972063715402287114612210912104263399274e4,5.0351247819836919843808396489244478353833658021607476201169279594e-3
7,5.2744979285350171315996136749677293624495816872576571986435729712e3,-6.8897886296218165009018329201547591838050331002845159213919200210e-4
8,4.9822997022757877759403299126966857113806076970904438104640335298e2,7.3858990853875708710187602798082425093178234376081724852743442305e-5
9,3.7346048922110540022971238070598954393727191157994084101578984942e1,-6.1415471525362262687808420650074854246338023029102312791587169275e-6
10,2.1635784075366196427813588526849279611309986824501961399094184241e0,3.8609342890549956983957805798576766383638498258490035609779730463e-7
11,9.1972048821304618629317614179964178803785471236027947101571689815e-2,-1.7431340800726141194608862691614388035911373248539823980992813601e-8
12,2.5792664581113317314235186047054757034235485494227638642571555210e-3,5.0836126371968022902787542811275655923329820403421942227950490250e-10
13,3.6174481330894924906631180987324379580132825595617541590048766197e-5,-7.2619252435964418740722206749514023853286091906911289446557437214e-12
relative error = 6.0685376595e-33

x=13, n=13, |dx| = 0.5
i,p_i,q_i
0,4.7900160000000000000000000000000000000000000000000000000000000000e8,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,5.1619882834826755184832566352131081078317636252931191476667449024e8,-1.4483392636242433542363492625282969679093757684745252991380507185e0
2,2.7439585758346875460682039337835009020765236925489581810036718379e8,1.0010432033744557993313316664729929964209550738525010998012757969e0
3,9.5045012945288440898686432404970044965043967509988760750339049357e7,-4.3780044190951697349121188110028336649767029377666558221622710701e-1
4,2.3908944065595584231946486799619903001524204504216540947100002363e7,1.3538153684545652740435823524040591204030148630780825047038239997e-1
5,4.6113104339984773273023782236222153149795953023062769629677084785e6,-3.1311131249395890768779185753197819055742931636640611314386589872e-2
6,7.0179447633244370423399481040639834380482410467363537753503528213e5,5.5825249387989891184294989565560388726563170717597510883042006463e-3
7,8.5406027407069608443496493265453583735644328996677619032231851122e4,-7.7845601145071511357804523321678924264048573758963607956328594882e-4
8,8.3221713890404083114360860165108359964004343107922977512490082852e3,8.5091604423315166113869997851354968043032274647799898392715843864e-5
9,6.4243507382833209799105523892329145385683433318727331337538099318e2,-7.2190619934004455607396180194724465351404300104165416524399852570e-6
10,3.8273638523935187743526236641558794011529450355731936807453753851e1,4.6333858912480347250811389478490395502578168371107562102217084101e-7
11,1.6709442997674504737768626988655115074093535286893815764963798149e0,-2.1371970858171448070255491972522716832835380998127330688982162024e-8
12,4.8070486098918725286956304001266050167408791107761292491812154168e-2,6.3726838560078490588185523868101619305226448592666100102975750293e-10
13,6.9089936180375689684987194275001520943269614369283961470328627966e-4,-9.3152197724223394235221872593449670895383342388113309870990817842e-12
relative error = 1.2392006791e-32

x=14, n=13, |dx| = 0.5
i,p_i,q_i
0,6.2270208000000000000000000000000000000000000000000000000000000000e9,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,7.0490817398892440986376085745526447866731681692606504238450874824e9,-1.4709029635300207808013328018838095998100311418467170972000839930e0
2,3.9157267738920155071025547028703189787188727313065381366421094491e9,1.0328567853368725605061970742163739061195883025608715763422682364e0
3,1.4118345396533376572740675360848468456106670329502696101187699952e9,-4.5909807263794659380019352078275830821380939154596163510566796198e-1
4,3.6853539186887667831613465397245038705003639408273804193105096374e8,1.4434722480878162984612476891780578418543151240091013899587049728e-1
5,7.3568327097225486531186979207215824104271740808329220195623316200e7,-3.3959037038466019444523492655869136123185130508561708617033553488e-2
6,1.1563311303830065842599407554863924933028007744128268292216761447e7,6.1616050768644476438420327128642539926541469768973796652133809290e-3
7,1.4506332676862580944708139162696468909460645270059613754979682268e6,-8.7481245770110615369706485482078434337163502580828021708520373924e-4
8,1.4547824008806262171072366186899422703421276044174267227711197926e5,9.7411393133909031796521864722851162137668397071502480987541684126e-5
9,1.1541496058292160683248952410655795347622355197600043167990981166e4,-8.4233560662715074194333323242848782216238352109606217290834622172e-6
10,7.0575153545465166822118187816159714446696558188370700952986589213e2,5.5136562375713376624442180603121120068318484913661820974613182677e-7
11,3.1589151998998623881655707849655697351088589090917481845840783897e1,-2.5953515689210605111462506692097379196396075428488277368557604551e-8
12,9.3074581472550098492530936171261975907616968869254270923047572394e-1,7.9027490305079888915649156171371428156029164204061507659391838399e-10
13,1.3687925985355259410212279579406244568633251738492651232375245300e-2,-1.1805096508018109692346497998615494056803989351253476838186444068e-11
relative error = 2.3998007766e-32

x=15, n=13, |dx| = 0.5
i,p_i,q_i
0,8.7178291200000000000000000000000000000000000000000000000000000000e10,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.0300043964017876752110420536034733940094277803232404511791309895e11,-1.4928548220939868735414290276215961144014249260979626735290465616e0
2,5.9490337706869559237759241404173678384597197343691168518073973849e10,1.0642756918778427367591582778054001664377987100139430100898537996e0
3,2.2234968791351249938262443054377767394972553450056697785455704488e10,-4.8045694841790190353765445211008651774413277923015716513558609760e-1
4,6.0016960203906571121854866095266637063595623431378085302853386338e9,1.5348116781385897233709404238825269147442706595437367172219485921e-1
5,1.2362893099110462432789678943594473158470620898190119001116220033e9,-3.6700436513965272127294464345450046763930644530477097791559136647e-2
6,2.0015501715677434306914479485988504299028032955672008988460760881e8,6.7711145030839218003023456628938226228118764171043458461967181722e-3
7,2.5823666545134220813006958012507982305278045616492417126964533133e7,-9.7796536523708583163121294501558550697323045735543586747833952231e-4
8,2.6597192899406294474237153922224489156772735588433767035658280381e6,1.1083165416840322933051567404991158161551232341715384061095177111e-4
9,2.1644355798061487511060930376808318129724657732152363853087411129e5,-9.7588978015095482042985622570751864699683832622629221827416052904e-6
10,1.3561294639300841039309150539390052254505883386153471893208002064e4,6.5079890266842296399617543106419846062703924349614395832070610999e-7
11,6.2132960694291716335762823993384252975146198629819781793818320677e2,-3.1227716974623428493831928553722282729703785331365746685363425341e-8
12,1.8722210649214997679396218564767391891035953214941311421740139869e1,9.6988815454815351737345004458424012739011336028769261233775102188e-10
13,2.8134975952436554148316344018007042799958342223436167969573205090e-1,-1.4787474807790655864915186682617678272105114785248681648166297026e-11
relative error = 4.4320134819e-32

x=16, n=13, |dx| = 0.5
i,p_i,q_i
0,1.3076743680000000000000000000000000000000000000000000000000000000e12,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.6042787148494712576748844114190852993830687793273769764525449346e12,-1.5141951279347221835277747024693918552682160775457546824920543535e0
2,9.5938307255984292160495073057370675473845904832814265019004287045e11,1.0952610463617158230194837482781802410171288674205535190320451093e0
3,3.7039342777296869700112298989514275411526681618510963200157469555e11,-5.0183254364321934850115368460321957574146846031008888878882152853e-1
4,1.0306659059647268432836101479623622026223385129050547992440353506e11,1.6276052369399648714744855264462417805751876644653107042783078415e-1
5,2.1849342810714492488734205552191679795725017093453607382410804377e10,-3.9528598773903478574467639832392278582948711714864613721310553605e-2
6,3.6350562749131098584931415803295340251923189760146914836815007667e9,7.4098863090157613833084108968691306632485507132898948515522896080e-3
7,4.8130139817222579452704361186967047171859116427383742165492191819e8,-1.0878279319792347174363300348620040947971208070048912074949615880e-3
8,5.0813608814747809088973562341869026048239367205664797488905355423e7,1.2536318574125026005392668422880739767237697711327004756293859195e-4
9,4.2342468477959676626048655562919068459712930134685295624383562998e6,-1.1229786094569413139265735085409403583080554399756665548878328967e-5
10,2.7139749440089474535726317527728930334865116863562929114527570075e5,7.6223524630998575241813336189097369878615549586689591164287669362e-7
11,1.2709340479750759824139740296597263293004782530086326297864862916e4,-3.7245524105817530647765225232442189433651675733948466882221261945e-8
12,3.9111954668228746323470951644556182879113697616610760657237234728e2,1.1786416848549507744001341298214831427579894595652642882116046263e-9
13,5.9983711356657810325894531368924538947138777264367759762806155071e0,-1.8320239889077499249703302563109131302512362840131586007987081787e-11
relative error = 7.8456936123e-32

