x,y_expected,y_actual,error(abs),error(rate)
0.03125,4.60209371150905893992e25,4.602093711509059E+25,2.76004771e7,5.99737398e-19
0.0625,1.12355803503639327121e22,1.1235580350363932E+22,4.16932306e5,3.71082127e-17
0.09375,8.65965123411589056532e19,8.659651234115892E+19,1.45388411e4,1.67891762e-16
0.125,2.74306160898528193108e18,2.743061608985282E+18,1.16924716e2,4.26256252e-17
0.15625,1.88501758430405975109e17,1.8850175843040595E+17,2.31087782e1,1.22591844e-16
0.1875,2.11417266508671435021e16,21141726650867144,4.97857530e-1,2.35485747e-17
0.21875,3.32490298758135493660e15,3324902987581355,6.34016968e-2,1.90687359e-17
0.25,6.69692778374262793019e14,669692778374262.8,4.30194294e-2,6.42375591e-17
0.28125,1.62946617641779437882e14,162946617641779.44,3.82236930e-4,2.34578008e-18
0.3125,4.60209386442606298079e13,46020938644260.625,4.80792624e-3,1.04472581e-16
0.34375,1.46636899779382196624e13,14663689977938.22,1.04069825e-3,7.09711026e-17
0.375,5.16155523216417053585e12,5161555232164.171,3.62590320e-4,7.02482689e-17
0.40625,1.97531052221934874455e12,1975310522219.3489,1.32403879e-4,6.70293999e-17
0.4375,8.11744406165032277746e11,811744406165.0323,7.08867231e-5,8.73264079e-17
0.46875,3.54699711420391373923e11,354699711420.39136,1.65009591e-5,4.65209262e-17
0.5,1.63499521134758800046e11,163499521134.7588,1.09835294e-5,6.71777464e-17
0.53125,7.89895655750242498894e10,78989565575.02425,3.67357411e-6,4.65070808e-17
0.5625,3.97820775840572530997e10,39782077584.05725,2.12309945e-6,5.33682397e-17
0.59375,2.07929141316166398092e10,20792914131.61664,1.62563264e-6,7.81820493e-17
0.625,1.12356984691322989459e10,11235698469.132298,1.43000869e-6,1.27273680e-16
0.65625,6.25648556458448767114e9,6256485564.584487,7.09771001e-7,1.13445639e-16
0.6875,3.58007729901268758046e9,3580077299.0126877,1.02642092e-7,2.86703565e-17
0.71875,2.10007061727304967894e9,2100070617.2730496,8.59726136e-8,4.09379632e-17
0.75,1.26019370925196910687e9,1260193709.251969,7.82300202e-9,6.20777739e-18
0.78125,7.72142519070813978421e8,772142519.070814,3.50602073e-8,4.54063939e-17
0.8125,4.82285305266674389367e8,482285305.2666744,1.00085712e-8,2.07523868e-17
0.84375,3.06638817748667151236e8,306638817.7486671,3.03023985e-8,9.88211431e-17
0.875,1.98200931894925883336e8,198200931.8949259,9.01714280e-9,4.54949566e-17
0.90625,1.30088152949554299396e8,130088152.9495543,5.04847167e-9,3.88080817e-17
0.9375,8.66108765841403978187e7,86610876.58414039,7.66101778e-9,8.84532992e-17
0.96875,5.84390682476955426322e7,58439068.24769554,2.39731503e-10,4.10224718e-18
1,3.99266229877310867023e7,39926622.987731084,2.47476512e-9,6.19828309e-17
1.03125,2.76004770744721189087e7,27600477.07447211,8.19018905e-9,2.96740851e-16
1.0625,1.92913003056881645528e7,19291300.305688165,5.75422675e-10,2.98280917e-17
1.09375,1.36244806547268892404e7,13624480.654726889,2.55984899e-10,1.87885987e-17
1.125,9.71713107528392120708e6,9717131.075283922,1.04795553e-9,1.07846187e-16
1.15625,6.99492104271771006432e6,6994921.042717708,1.78960005e-9,2.55842781e-16
1.1875,5.07972134088656413537e6,5079721.340886565,7.89945121e-10,1.55509538e-16
1.21875,3.71973212540953043763e6,3719732.1254095305,3.81096680e-11,1.02452722e-17
1.25,2.74546279301942941091e6,2745462.79301943,3.69633447e-10,1.34634295e-16
1.28125,2.04165584716849035880e6,2041655.8471684894,9.99483118e-10,4.89545346e-16
1.3125,1.52917004043632943877e6,1529170.0404363289,5.84357708e-10,3.82140437e-16
1.34375,1.15315999578336388438e6,1153159.9957833635,4.15437869e-10,3.60260389e-16
1.375,8.75282475672259312646e5,875282.4756722591,2.00757471e-10,2.29363065e-16
1.40625,6.68505935681676299533e5,668505.9356816763,4.02687212e-11,6.02368940e-17
1.4375,5.13620690771108205416e5,513620.69077110814,6.14526177e-11,1.19645915e-16
1.46875,3.96871060302240256946e5,396871.06030224025,6.77952112e-12,1.70824275e-17
1.5,3.08334758800046029365e5,308334.75880004605,2.34188079e-11,7.59525394e-17
1.53125,2.40804466405350775035e5,240804.46640535077,1.90547057e-12,7.91293701e-18
1.5625,1.89009808329585563667e5,189009.80832958553,3.14747867e-11,1.66524621e-16
1.59375,1.49071998425017584531e5,149071.99842501752,6.60742819e-11,4.43237379e-16
1.625,1.18118768385525077834e5,118118.76838552507,1.25921424e-11,1.06605771e-16
1.65625,9.40105613264713247183e4,94010.5613264713,2.18271237e-11,2.32177357e-16
1.6875,7.51445258165162390430e4,75144.52581651622,1.59122978e-11,2.11755914e-16
1.71875,6.03132932294573915706e4,60313.2932294574,6.84032964e-12,1.13413300e-16
1.75,4.86025913990718121701e4,48602.591399071796,1.58385042e-11,3.25877773e-16
1.78125,3.93165685223009663490e4,39316.56852230097,5.03188223e-12,1.27983759e-16
1.8125,3.19230124231533143788e4,31923.01242315331,6.18774570e-12,1.93833389e-16
1.84375,2.60129403749970480786e4,26012.940374997044,3.80542949e-12,1.46289863e-16
1.875,2.12706292175076919004e4,21270.629217507696,4.11161194e-12,1.93299968e-16
1.90625,1.74512729511286465602e4,17451.27295112865,2.29579663e-12,1.31554680e-16
1.9375,1.43642429951166462132e4,14364.242995116649,2.45850749e-12,1.71154685e-16
1.96875,1.18604853378933757464e4,11860.485337893373,2.67539399e-12,2.25572050e-16
2,9.82298773108670232707e3,9822.987731086701,9.39533735e-13,9.56464327e-17
2.03125,8.15953634799246931219e3,8159.536347992471,1.52500781e-12,1.86898831e-16
2.0625,6.79718787619078849700e3,6797.1878761907865,2.01423393e-12,2.96333420e-16
2.09375,5.67803282968220579744e3,5678.0328296822045,1.33252701e-12,2.34681103e-16
2.125,4.75593508643011477453e3,4755.935086430115,2.32275760e-13,4.88391360e-17
2.15625,3.99401267657823330469e3,3994.0126765782334,6.30722334e-14,1.57916959e-17
2.1875,3.36268375321091475219e3,3362.683753210915,4.92699627e-14,1.46519763e-17
2.21875,2.83814524350436347487e3,2838.145243504363,5.22793433e-13,1.84202494e-16
2.25,2.40118404386461090940e3,2401.1840438646113,4.30409949e-13,1.79249046e-16
2.28125,2.03624477285793030944e3,2036.2447728579295,7.62266133e-13,3.74348970e-16
2.3125,1.73069619239359897193e3,1730.6961923935983,7.05143775e-13,4.07433597e-16
2.34375,1.47425202410870364696e3,1474.2520241087034,2.65970677e-13,1.80410590e-16
2.375,1.25851217448805673203e3,1258.5121744880566,8.81388097e-14,7.00341335e-17
2.40625,1.07659818357007196957e3,1076.5981835700718,1.72998688e-13,1.60690117e-16
2.4375,9.22862651034909137987e2,922.862651034909,8.85018625e-14,9.58992786e-17
2.46875,7.92656931328720750463e2,792.6569313287205,2.75469279e-13,3.47526487e-16
2.5,6.82144869242798150166e2,682.1448692427982,7.21648637e-14,1.05791111e-16
2.53125,5.88153025088966884139e2,588.1530250889668,4.18349922e-14,7.11294347e-17
2.5625,5.08049906174509600867e2,508.0499061745094,2.26798735e-13,4.46410346e-16
2.59375,4.39648323015961512723e2,439.6483230159614,1.03212965e-13,2.34762558e-16
2.625,3.81126233608272156530e2,381.1262336082722,1.65841579e-14,4.35135565e-17
2.65625,3.30962409643170549350e2,330.96240964317064,9.54625162e-14,2.88439150e-16
2.6875,2.87884017616787337027e2,287.8840176167873,6.14981136e-14,2.13621145e-16
2.71875,2.50823803165786561915e2,250.82380316578656,4.25912647e-15,1.69805513e-17
2.75,2.18885035373478272594e2,218.88503537347816,1.11958089e-13,5.11492661e-16
2.78125,1.91312737334780466405e2,191.31273733478042,4.40893114e-14,2.30456749e-16
2.8125,1.67470021638868395042e2,167.4700216388684,6.60619828e-15,3.94470497e-17
2.84375,1.46818581369980807774e2,146.81858136998082,1.15438598e-14,7.86266947e-17
2.875,1.28902571720269739167e2,128.90257172026975,8.68977997e-15,6.74135500e-17
2.90625,1.13335264442593235580e2,113.33526444259326,2.11372793e-14,1.86502228e-16
2.9375,9.97879750097982501690e1,99.78797500979829,3.76597000e-14,3.77397176e-16
2.96875,8.79808566373921097910e1,87.9808566373921,1.58468900e-14,1.80117477e-16
3,7.76752310867023270732e1,77.67523108670233,1.61732331e-15,2.08216093e-17
3.03125,6.86671871823294066628e1,68.6671871823294,6.88782857e-15,1.00307423e-16
3.0625,6.07822272347029405145e1,60.78222723470292,1.78564548e-14,2.93777567e-16
3.09375,5.38707814130601905833e1,53.870781413060186,4.50080032e-15,8.35480793e-17
3.125,4.78044424330508672275e1,47.80444243305085,1.52814578e-14,3.19666060e-16
3.15625,4.24727991886073225919e1,42.47279918860731,1.12981977e-14,2.66010198e-16
3.1875,3.77807693492919409982e1,37.78076934929193,1.11276699e-14,2.94532645e-16
3.21875,3.36463484030292211900e1,33.646348403029215,6.15490239e-15,1.82929283e-16
3.25,2.99987069023328106953e1,29.998706902332806,4.57185779e-15,1.52401829e-16
3.28125,2.67765793727933826487e1,26.776579372793382,7.98467455e-16,2.98196212e-17
