x=2, n=14, |dx| = 0.5
0,6.5792512120101009950601782929039453211225830073550376418647565967e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,5.7242941843517050322641460129591227031244564021004806160066462967e0,5.8540246072721698432490804656793082918304216254841393130871933108e-1
2,2.1012746728203321928015293100615620304804475802705836722557930886e0,1.4107525244944406547313258062637195490611864683649806003658340954e-1
3,4.2398781131837174569593818585841694914959707854392955885843310142e-1,1.8051168381705825019464934970108654859051421497808325659086831277e-2
4,5.1314635581451348947216533177226608584202629290430162248849470195e-2,1.3183646709166021474098990824693770112785954933017441380830737642e-3
5,3.8108662642945501347643815284260242502500163605339529240602181238e-3,5.4896241678050261981076127759213584182596716776478961634119908955e-5
6,1.7030883008471856296559748521651595050272865998441060424074111766e-4,1.2247133645198833245576907101704797778620843984548895385344259212e-6
7,4.2890380443505825780441749397661922060423870793648785794062934064e-6,1.2516637245241368798563386626639027075545882336539775200179490206e-8
8,5.2672588961005576596707589453968671791579924766215993612445450816e-8,3.8391659395440954912886087110938698493070918450241221746952683038e-11
9,2.2039625599245277072081416410898504432900034573737988354308626665e-10,-1.1258718595610471432455795661041147427296628425091256618907766773e-14
relative error = 1.6375713350e-32

x=8, n=9, |dx| = 0.5
i,p_i,q_i
0,8.5251613610654143001655310363471250507596677369368988303241467467e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,6.3738845323629585482179854657171530078978040231147790570943841800e0,5.1122118043554382594092140687741161778951756131579715813877357765e-1
2,2.0141253437500068038251706608910650861804244273735357097840617226e0,1.0757781370522528374438895604113837985298479102998405174479426365e-1
3,3.5038219124839896113854326275486121434447401184001772177495177445e-1,1.2018844076997204145767931278559909496259665423873080369256902599e-2
4,3.6608366257952610264608427786684346164455983432551103113090502559e-2,7.6639666730323901182070447772358240645384550816093506898413044432e-4
5,2.3495616827737234892621380932075328346287349044439553836337774286e-3,2.7861809959913463039909348027469791704572410032821207595030117664e-5
6,9.0826080032374230565317655236780598168012897539211409811933847219e-5,5.4270744592956746677984069166815478566063401221623412078262094005e-7
7,1.9798880726686764957787297719156699603830766170388579529986750118e-6,4.8437684203092610174499062010543093675894232616572370014476165703e-9
8,2.1055401608463396023591527274125906834010120354772612155688374515e-8,1.2991688826872431673742181678317100045275304413398627661983776358e-11
9,7.6296156798699041700057316306919637731893594669236310741107477398e-11,-3.2455037010260740682478866633088234085538649198954077703631322562e-15
relative error = 9.8181661677e-34

x=9, n=9, |dx| = 0.5
i,p_i,q_i
0,1.0604602902745250228417227400721654754986168140017664592686186775e1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,6.9528556369017943531404885077852921338452416846364721233346617677e0,4.5378541781139488350902839367049941000953262547847316162381332942e-1
2,1.9289626497266579427030024498049000380846212951339651797264675575e0,8.4757040236600902204290167793259814398581615943564564966048239177e-2
3,2.9492196672267663740111632410601102463375806599835108271842138301e-1,8.4042560433938965923744898865744059185261383054739528157357242490e-3
4,2.7105699964400175394223413822052748704008378237556274189973133285e-2,4.7560953840040447601408395550243351791234307222453573584236583723e-4
5,1.5314709752734821647021622286091511143219352734997594779413607384e-3,1.5344512565613261983265970473264794677758162004469104636463013979e-5
6,5.2148221348128090334566336163885327081921579079923995603028920168e-5,2.6525606548722472365751340976498623473710696965449141907183817385e-7
7,1.0017881995318754706043213570829801439969641524133198949585182846e-6,2.1014420944129241531323217972183204448909855237225319867656976379e-9
8,9.3911942969661672365229859254204905273700658220573552022236462486e-9,5.0084882763771772506309236028134566324737218351595985945680913793e-12
9,2.9995572856469936766423867922682909525265773544272748150470831784e-11,-1.0870702166443348740306175089724436743519879577767196771153751144e-15
relative error = 8.4398628710e-35

x=10, n=8, |dx| = 0.5
i,p_i,q_i
0,1.2801827480081469611207717874566706164281149255663163496155575442e1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,6.8338104201358523268712481653872032392681973035657878505444886518e0,3.5792216683113522472257495851680798569125282119760445997752291970e-1
2,1.5139990523848427925200052232819755884679763265804380227524593604e0,5.1200792989709073884488901714701379739324239427928799364381847899e-2
3,1.8004359672727024430597435343778879752708435268281928218107966656e-1,3.7317356771222624943262314996220155970743398861619343034463151365e-3
4,1.2402949258626789654146261616125750060855620342949398811225609587e-2,1.4608889414179951612982797054568545436888322135521742920433135113e-4
5,4.9727982342624450315470451590113584250954581775880996451222908106e-4,2.9586220199683396144336296870104827156205230170132158263851587559e-6
6,1.1012397828522471520416726726239133527059915623401591539899559964e-5,2.6874134435767348594192852221758226235439701567755474858877393232e-8
7,1.1756272183714944368705581394477506864453052726940859472305389959e-7,7.2447151194266831790403784330444702146997231240250858638582502933e-11
8,4.2533854752631603737950026297670745870410207672971513976690732782e-10,-1.8077541361677308505397231961386012721159962355033446988588163434e-14
relative error = 5.9161919649e-32

x=11, n=8, |dx| = 0.5
i,p_i,q_i
0,1.5104412573075515295225709329251070371882250744291936472188903343e1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,7.2623725355857989136672997529031888443874505010275073112166545514e0,3.2511161375931563720836282571014267131153856645559624470823074476e-1
2,1.4502259952250799136189343987613552268555295146204474540752971975e0,4.2243334184838585913904644861489768408575629230167019527807408419e-2
3,1.5554798546983191634625524501233862658137149635795924207006189968e-1,2.7965721983172999923056514622215847407470700400686945792749602940e-3
4,9.6702197378019597198716596207288826182685049063231606494258856686e-3,9.9441626713159488124669831007755719767325170981482252521018979876e-5
5,3.5006271755350254715234452007274279685014641416206947152542707892e-4,1.8293428000189136568992287560663967313895068055305452589055957467e-6
6,7.0020124174477116434296583838531502549900843049272853350431804135e-6,1.5096216888601594305565585928293602075853092690953175972614206043e-8
7,6.7531338343122006163752413923478560269834946834252009270444348958e-8,3.7006049257186884236362275060936808428731607376433630224702866208e-11
8,2.2072556999146219232012330809077371922123849816804274268260240705e-10,-8.2458817524492333615145799929190906320430648214272354355057902765e-15
relative error = 1.0246051133e-32

x=12, n=8, |dx| = 0.5
i,p_i,q_i
0,1.7502307845873885839287652907216199671703957598229353647407471053e1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,7.6545646749645245022723074982672119094572707298341689430917336123e0,2.9778375748415385483688888682502601683359642249560175072863968426e-1
2,1.3911162233028929389052007614988224987882745629980036169998258635e0,3.5439915638753025442231766859371011915157142963971276264171485981e-2
3,1.3586041387639977802008923888511410587766183365718249118963176376e-1,2.1489494287649708728238881143487958505778551325869266334048018705e-3
