x,y_expected,y_actual,error(abs),error(rate)
0.03125,-8.09411229247202411309e38,-8.094112292472024E+38,1.24004244e13,1.53203019e-26
0.0625,-6.17531760595094613121e33,-6.175317605950946E+33,7.46505731e12,1.20885399e-21
0.09375,-6.26769558318741174191e30,-6.267695583187412E+30,1.89194760e14,3.01856971e-17
0.125,-4.71139343715739936943e28,-4.711393437157399E+28,2.82511077e12,5.99633803e-17
0.15625,-1.06091148639889491772e27,-1.060911486398895E+27,5.97133686e10,5.62849676e-17
0.1875,-4.78187224059109453908e25,-4.781872240591094E+25,2.96529645e9,6.20112019e-17
0.21875,-3.47938546570843560690e24,-3.4793854657084356E+24,1.64750702e7,4.73505175e-18
0.25,-3.59450793240629172331e23,-3.594507932406292E+23,1.03949786e7,2.89190588e-17
0.28125,-4.85340535246761278293e22,-4.853405352467613E+22,1.49574219e6,3.08184066e-17
0.3125,-8.09411229267759420645e21,-8.094112292677595E+21,4.38026036e5,5.41166246e-17
0.34375,-1.60137696668243919114e21,-1.6013769666824393E+21,1.28407267e5,8.01855336e-17
0.375,-3.64827899308231238787e20,-3.648278993082312E+20,9.34661443e3,2.56192425e-17
0.40625,-9.35690534814702993966e19,-9.35690534814703E+19,3.33259693e3,3.56164437e-17
0.4375,-2.65456044879677303366e19,-2.6545604487967728E+19,2.72062176e3,1.02488597e-16
0.46875,-8.21519398517412515395e18,-8.215193985174126E+18,4.14049620e2,5.04004678e-17
0.5,-2.74239193743932111604e18,-2.742391937439321E+18,2.80431177e1,1.02257877e-17
0.53125,-9.78447591243592834878e17,-9.784475912435927E+17,1.30877919e2,1.33760786e-16
0.5625,-3.70285453149682430508e17,-3.702854531496824E+17,1.49233602e0,4.03023128e-18
0.59375,-1.47692360372498515108e17,-1.476923603724985E+17,1.91084244e1,1.29379911e-16
0.625,-6.17531815075200657959e16,-61753181507520070,6.20411565e0,1.00466332e-16
0.65625,-2.69427101053500300998e16,-26942710105350030,1.90019439e0,7.05272181e-17
0.6875,-1.22175395393959230036e16,-12217539539395924,9.96412959e-1,8.15559430e-17
0.71875,-5.73847074377781339640e15,-5738470743777813,3.96401562e-1,6.90779094e-17
0.75,-2.78341752499083814490e15,-2783417524990838,1.44899072e-1,5.20579720e-17
0.78125,-1.39055904770218672832e15,-1390559047702186.8,2.16810970e-2,1.55916407e-17
0.8125,-7.13876075857544189424e14,-713876075857544.1,6.44237443e-2,9.02449970e-17
0.84375,-3.75825263228781427321e14,-375825263228781.4,5.23206078e-2,1.39215250e-16
0.875,-2.02527367898541596693e14,-202527367898541.6,2.94335547e-3,1.45331246e-17
0.90625,-1.11533329732599552089e14,-111533329732599.55,5.21352192e-3,4.67440713e-17
0.9375,-6.26772299138251697297e13,-62677229913825.17,2.14528663e-3,3.42275279e-17
0.96875,-3.58940907674928626106e13,-35894090767492.86,3.23556275e-3,9.01419336e-17
1,-2.09229496794815109066e13,-20922949679481.516,4.71836834e-3,2.25511623e-16
1.03125,-1.24004243539949777964e13,-12400424353994.973,5.14019671e-3,4.14517807e-16
1.0625,-7.46505730947835410962e12,-7465057309478.354,5.93991969e-4,7.95696462e-17
1.09375,-4.56057347964985830358e12,-4560573479649.859,1.07141921e-3,2.34930807e-16
1.125,-2.82511076512902762498e12,-2825110765129.0293,1.67189199e-3,5.91796968e-16
1.15625,-1.77317180332083023658e12,-1773171803320.8306,3.29828713e-4,1.86010579e-16
1.1875,-1.12683808094770938848e12,-1126838080947.7095,8.41771852e-5,7.47021126e-17
1.21875,-7.24581634041740613637e11,-724581634041.7407,1.09019669e-4,1.50458781e-16
1.25,-4.71160939165383871639e11,-471160939165.3839,3.94934896e-5,8.38216548e-17
1.28125,-3.09647531874082205367e11,-309647531874.08215,5.20471039e-5,1.68084995e-16
1.3125,-2.05570093362070853653e11,-205570093362.07074,1.13907182e-4,5.54103860e-16
1.34375,-1.37796916800261436970e11,-137796916800.26147,3.76389829e-5,2.73148223e-16
1.375,-9.32210264394902855909e10,-93221026439.49033,4.03367957e-5,4.32700617e-16
1.40625,-6.36214573603507618488e10,-63621457360.350784,2.24529473e-5,3.52914696e-16
1.4375,-4.37865854294727717363e10,-43786585429.472755,1.63041321e-5,3.72354499e-16
1.46875,-3.03787208415740624006e10,-30378720841.574066,3.76154646e-6,1.23821753e-16
1.5,-2.12393851160431177427e10,-21239385116.043114,4.03420037e-6,1.89939603e-16
1.53125,-1.49596233187607296560e10,-14959623318.760727,2.72725420e-6,1.82307679e-16
1.5625,-1.06114860171055664865e10,-10611486017.10557,3.35293373e-6,3.15972120e-16
1.59375,-7.57856268913064991966e9,-7578562689.13065,3.53008989e-7,4.65799392e-17
1.625,-5.44801060448384292814e9,-5448010604.483842,1.03208464e-6,1.89442480e-16
1.65625,-3.94113595035398840506e9,-3941135950.35399,1.67290786e-6,4.24473523e-16
1.6875,-2.86837051502671576506e9,-2868370515.026716,4.67242598e-7,1.62894785e-16
1.71875,-2.09982475823772045666e9,-2099824758.23772,4.43999523e-7,2.11445989e-16
1.75,-1.54587241306290502151e9,-1545872413.0629048,1.86759540e-7,1.20811742e-16
1.78125,-1.14424942950589277962e9,-1144249429.5058928,2.60141254e-8,2.27346632e-17
1.8125,-8.51417169112853262713e8,-851417169.112853,2.12481466e-7,2.49562111e-16
1.84375,-6.36738519987140764463e8,-636738519.9871407,1.08945500e-7,1.71099277e-16
1.875,-4.78523380273854389202e8,-478523380.2738544,1.43161745e-8,2.99173982e-17
