x=1, n=9, |dx| = 0.5
8,4.8247614430323862234897277622158781316697555304363836391246254700e-6,3.3260362376366075048875990187873812099337163938937722907629383465e-7
relative error = 1.2308385913e-17

x=4, n=8, |dx| = 0.5
i,p_i,q_i
0,6.0000000000000000000000000000000000000000000000000000000000000000e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,4.5249338775708328726851021979237421743834641381152464447711051664e0,-5.0196202216999499394597087693030720656059664104086866039904857072e-1
2,1.9309353177387477196014808492902376419438447782249142154619250093e0,2.1518641544114825481125341432942978556608065176770758608970852588e-2
3,5.5019548736280029397512674253207419432186066965141322429403579282e-1,3.6667993520922867751125919167904373760147058137780863309414020050e-2
4,1.1595189940601100356660013137214943547918111373683514400769194492e-1,-9.0416687838339111636023153058526710125247194922632390211553823157e-3
5,1.8198002155104702150329542942354777018985247864544331726828573296e-2,2.4721323630753797336439674666159684077634297520467753203943484518e-4
6,2.1410676066955971537360671047045797693976503768141161150860110071e-3,2.0824055824163043506104130366641429531044069232240569466700797263e-4
7,1.7226952319340935277330052879805425475659407614155455254397042402e-4,-3.4585723957598243448974075353443951771484835381085208950832985954e-5
8,8.3089337925816684040474551683431359957339781241265199023199739028e-6,1.8640807495708346263620474903513413090094687810473217341138283333e-6
relative error = 2.9808751028e-18

x=5, n=8, |dx| = 0.5
i,p_i,q_i
0,2.4000000000000000000000000000000000000000000000000000000000000000e1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.6890492073236259379228621960905928845923431428775184060517266657e1,-8.0234716538028966525896199487985053371103102119444373200601332108e-1
2,6.8292728350766442210836834260656935843065498973080722897916924759e0,2.4812558334050716918655390263561354074856371030479784361542387403e-1
3,1.8415565141872915135827786816353473851545766799689894855717717023e0,-2.6115633878158555743737155623270617804829379230722543902280303163e-2
4,3.6869072676326277394470161407068021846822833011528527520264889285e-1,-4.7985363555186991399288576836322903796728172958036438866040678854e-3
5,5.4874257664479062388484422355783556469835967145324836947629347246e-2,2.0101305287276992011236091366529962014483877551812412535617638838e-3
